"FileName","SHA256","LengthBytes","CreatedTables","AlteredTables","DroppedTables","CreatedFunctions","DroppedFunctions","CreatedIndexes","CreatedPolicies","DroppedPolicies","CreatedTriggers","CreatedViews","HasTopLevelInsert","HasTopLevelUpdate","HasTopLevelDelete","HasTopLevelTruncate","HasSecurityDefiner","HasSearchPath","HasGrantToAnon","HasGrantToAuthenticated","HasGrantToServiceRole","HasRevokePublic","HasRls","HasStorageObjects","HasAuthObjects","HasDestructiveDdl","HasConstraintValidation","DuplicateContent","DuplicateGroup","DraftClassification","ReviewNotes"
"20260403_multi_branch_phase1.sql","93521377AE37D9CB5D85C200C1CF586B515146376ECC501297FDACC9D76FACF6","4591","public.branches","public.customers; public.invoices; public.orders; public.profiles","","","","idx_branches_is_active; idx_customers_branch_id; idx_invoices_branch_id; idx_orders_branch_id; idx_profiles_branch_id","","","","","True","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","","Historical;PossibleDataBearing",""
"20260403_multi_branch_phase3_write_path_safety.sql","997EC72FF7B3D537001B7FA2C0CFCE19C6C65B32376D286E31C33C79DB49C838","2888","","","","public.resolve_insert_branch_id; public.set_customers_branch_id; public.set_invoices_branch_id; public.set_orders_branch_id","","","","","trg_set_customers_branch_id; trg_set_invoices_branch_id; trg_set_orders_branch_id","","False","False","False","False","True","True","False","False","False","False","False","False","True","True","False","False","","Historical;SecuritySensitive;DestructiveDDL",""
"20260404_branch_catalog_phase1.sql","7BA6306134DC17E4B47285B2405B6586A3D461D29407BBB819464384F6C88647","3105","public.branch_catalog_items; public.catalog_items","","","","","idx_branch_catalog_items_branch_id; idx_branch_catalog_items_catalog_item_id","","","","","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","","Historical;PossibleDataBearing",""
"20260404_branch_whatsapp_configs.sql","ED24C60E0917FCA5D526C247DD5F81B66CC274A52ECCBA086A5BC00602C5C0D3","947","public.branch_whatsapp_configs","","","","","idx_branch_whatsapp_configs_branch_id; idx_branch_whatsapp_configs_is_active","","","","","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","","Historical",""
"20260404_multi_branch_phase3_branch_guard.sql","0ACA4E79D47E319F0220A228150DA24F0C1FDA53712F71BA809FA4CF1303241E","930","","","","public.resolve_insert_branch_id","","","","","","","False","False","False","False","True","True","False","False","False","False","False","False","True","False","False","False","","Historical;SecuritySensitive",""
"20260424_digital_invoice_brand_colors.sql","A2150BF871337B2209F4F2BAEC1048CDD4DE142B4E6C92E0EE076C3272C8789D","172","","public.system_settings","","","","","","","","","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","","Historical",""
"20260424_digital_invoice_main_footer_toggles.sql","DFC2BCD7EF8EDB0A52F961C12E74B5FE09D66CF98A9DD9FA54B1854C09CD00F1","279","","public.system_settings","","","","","","","","","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","","Historical",""
"20260424_digital_invoice_settings.sql","1F698EDDADB0481F0D53937CEF7804BA251230B299DBD2F4A97C0274F4287CAF","538","","public.system_settings","","","","","","","","","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","","Historical",""
"20260424_digital_invoice_social_links.sql","9FE1481B9F8779DB3D6CFEED51B3E4B72DF2169538673005966AC3F9EFCEB4D6","322","","public.system_settings","","","","","","","","","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","","Historical",""
"20260424_thermal_invoice_settings.sql","4CCC2EA1A592F6DD2AB1812462D4F2E4364751FFFF877A79A81724BF068587DB","979","","public.system_settings","","","","","","","","","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","","Historical",""
"20260428_catalog_cost_price.sql","1CF2C71774450778E0BA40F034F4C9B328D7AE485AF94386781BE2C0C93E2373","99","","public.catalog_items","","","","","","","","","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","","Historical",""
"20260428_invoice_items_cost_price_snapshot.sql","76C1E72467F96484F262D142677EBF193D49166626C7333A98DEEE09214C271E","101","","public.invoice_items","","","","","","","","","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","","Historical",""
