"FileName","SHA256","LengthBytes","FinalLabels","PreservationDecision","DuplicateContent","SupersededDefinitions","LatestDefinitions","FullySupersededByDefinitionsOnly","SecuritySensitive","StorageSensitive","PossibleDataBearing","ContainsDestructiveDDL","ManualReviewNotes"
"20260403_multi_branch_phase1.sql","93521377AE37D9CB5D85C200C1CF586B515146376ECC501297FDACC9D76FACF6","4591","HistoricalRecord;ProductionBaselineCovered;PossibleDataBearing","PreserveForAuditAndHistory","False","0","0","False","False","False","True","False","Contains INSERT, UPDATE, or DELETE text; manual review is required because statements may be inside function bodies."
"20260403_multi_branch_phase3_write_path_safety.sql","997EC72FF7B3D537001B7FA2C0CFCE19C6C65B32376D286E31C33C79DB49C838","2888","HistoricalRecord;ProductionBaselineCovered;ContainsDestructiveDDL;SecuritySensitive","PreserveForAuditAndHistory","False","","0","True","True","False","False","True","Contains DROP or other destructive DDL, commonly used before recreating functions or policies. Contains security-relevant definitions such as RLS, grants, revokes, auth references, or SECURITY DEFINER."
"20260404_branch_catalog_phase1.sql","7BA6306134DC17E4B47285B2405B6586A3D461D29407BBB819464384F6C88647","3105","HistoricalRecord;ProductionBaselineCovered;PossibleDataBearing","PreserveForAuditAndHistory","False","0","0","False","False","False","True","False","Contains INSERT, UPDATE, or DELETE text; manual review is required because statements may be inside function bodies."
"20260404_branch_whatsapp_configs.sql","ED24C60E0917FCA5D526C247DD5F81B66CC274A52ECCBA086A5BC00602C5C0D3","947","HistoricalRecord;ProductionBaselineCovered","PreserveInHistoricalArchive","False","0","0","False","False","False","False","False",""
"20260404_multi_branch_phase3_branch_guard.sql","0ACA4E79D47E319F0220A228150DA24F0C1FDA53712F71BA809FA4CF1303241E","930","HistoricalRecord;ProductionBaselineCovered;SecuritySensitive","PreserveForAuditAndHistory","False","0","","False","True","False","False","False","Contains security-relevant definitions such as RLS, grants, revokes, auth references, or SECURITY DEFINER."
"20260424_digital_invoice_brand_colors.sql","A2150BF871337B2209F4F2BAEC1048CDD4DE142B4E6C92E0EE076C3272C8789D","172","HistoricalRecord;ProductionBaselineCovered","PreserveInHistoricalArchive","False","0","0","False","False","False","False","False",""
"20260424_digital_invoice_main_footer_toggles.sql","DFC2BCD7EF8EDB0A52F961C12E74B5FE09D66CF98A9DD9FA54B1854C09CD00F1","279","HistoricalRecord;ProductionBaselineCovered","PreserveInHistoricalArchive","False","0","0","False","False","False","False","False",""
"20260424_digital_invoice_settings.sql","1F698EDDADB0481F0D53937CEF7804BA251230B299DBD2F4A97C0274F4287CAF","538","HistoricalRecord;ProductionBaselineCovered","PreserveInHistoricalArchive","False","0","0","False","False","False","False","False",""
"20260424_digital_invoice_social_links.sql","9FE1481B9F8779DB3D6CFEED51B3E4B72DF2169538673005966AC3F9EFCEB4D6","322","HistoricalRecord;ProductionBaselineCovered","PreserveInHistoricalArchive","False","0","0","False","False","False","False","False",""
"20260424_thermal_invoice_settings.sql","4CCC2EA1A592F6DD2AB1812462D4F2E4364751FFFF877A79A81724BF068587DB","979","HistoricalRecord;ProductionBaselineCovered","PreserveInHistoricalArchive","False","0","0","False","False","False","False","False",""
