"FileName","LengthBytes","LastWriteTime","SHA256","CreateTableCount","AlterTableCount","CreateFunctionCount","DropFunctionCount","CreatePolicyCount","DropPolicyCount","CreateIndexCount","DropIndexCount","GrantCount","RevokeCount","EnableRlsCount","ContainsDataStatements"
"20260403_multi_branch_phase1.sql","4591","2026-07-15 14:06:17","93521377AE37D9CB5D85C200C1CF586B515146376ECC501297FDACC9D76FACF6","1","8","0","0","0","0","5","0","0","0","0","True"
"20260403_multi_branch_phase3_write_path_safety.sql","2888","2026-07-15 14:06:17","997EC72FF7B3D537001B7FA2C0CFCE19C6C65B32376D286E31C33C79DB49C838","0","0","4","0","0","0","0","0","0","0","0","False"
"20260404_branch_catalog_phase1.sql","3105","2026-07-15 14:06:17","7BA6306134DC17E4B47285B2405B6586A3D461D29407BBB819464384F6C88647","2","0","0","0","0","0","2","0","0","0","0","True"
"20260404_branch_whatsapp_configs.sql","947","2026-07-15 14:06:17","ED24C60E0917FCA5D526C247DD5F81B66CC274A52ECCBA086A5BC00602C5C0D3","1","0","0","0","0","0","2","0","0","0","0","False"
"20260404_multi_branch_phase3_branch_guard.sql","930","2026-07-15 14:06:17","0ACA4E79D47E319F0220A228150DA24F0C1FDA53712F71BA809FA4CF1303241E","0","0","1","0","0","0","0","0","0","0","0","False"
"20260424_digital_invoice_brand_colors.sql","172","2026-07-15 14:06:17","A2150BF871337B2209F4F2BAEC1048CDD4DE142B4E6C92E0EE076C3272C8789D","0","1","0","0","0","0","0","0","0","0","0","False"
"20260424_digital_invoice_main_footer_toggles.sql","279","2026-07-15 14:06:17","DFC2BCD7EF8EDB0A52F961C12E74B5FE09D66CF98A9DD9FA54B1854C09CD00F1","0","1","0","0","0","0","0","0","0","0","0","False"
"20260424_digital_invoice_settings.sql","538","2026-07-15 14:06:17","1F698EDDADB0481F0D53937CEF7804BA251230B299DBD2F4A97C0274F4287CAF","0","1","0","0","0","0","0","0","0","0","0","False"
"20260424_digital_invoice_social_links.sql","322","2026-07-15 14:06:17","9FE1481B9F8779DB3D6CFEED51B3E4B72DF2169538673005966AC3F9EFCEB4D6","0","1","0","0","0","0","0","0","0","0","0","False"
"20260424_thermal_invoice_settings.sql","979","2026-07-15 14:06:17","4CCC2EA1A592F6DD2AB1812462D4F2E4364751FFFF877A79A81724BF068587DB","0","1","0","0","0","0","0","0","0","0","0","False"
"20260428_catalog_cost_price.sql","99","2026-07-15 14:06:17","1CF2C71774450778E0BA40F034F4C9B328D7AE485AF94386781BE2C0C93E2373","0","1","0","0","0","0","0","0","0","0","0","False"
"20260428_invoice_items_cost_price_snapshot.sql","101","2026-07-15 14:06:17","76C1E72467F96484F262D142677EBF193D49166626C7333A98DEEE09214C271E","0","1","0","0","0","0","0","0","0","0","0","False"
"20260430_catalog_items_storage.sql","472","2026-07-15 14:06:17","7440A15AE4E5007A874E70B10A5E1FB6499E7E6A8CB2136F02EECF6099DD246C","0","1","0","0","0","0","0","0","0","0","0","True"
"20260430_catalog_pos_display_settings.sql","274","2026-07-15 14:06:17","4DEA897D8F1A592E8A9B89F7687AE12E955C13C1ED9090DE273C45B479DAE0BB","0","3","0","0","0","0","0","0","0","0","0","False"
"20260430_create_invoice_with_items_current_payload_safe.sql","8006","2026-07-15 14:06:17","A7897C184AED566ADE86880ED4387CC1262FBD321332D5A1FCE10F48BF2F558E","0","0","3","3","0","0","0","0","3","0","0","True"
"20260430_create_invoice_with_items_safe_validation.sql","8006","2026-07-15 14:06:17","A7897C184AED566ADE86880ED4387CC1262FBD321332D5A1FCE10F48BF2F558E","0","0","3","3","0","0","0","0","3","0","0","True"
"20260430_invoice_items_snapshot_allow_catalog_delete.sql","8999","2026-07-15 14:06:17","AB7FEBFBD787CC6AF5406CC3FA9B232EA99A3192629794D56F45F5164F319D5A","0","4","3","3","0","0","0","0","3","0","0","True"
"20260430_items_legacy_audit.sql","2992","2026-07-15 14:06:17","52B4D6F83CE8276FFC9E3B575263F3CA04B13C5A35005632B4402E90253672A4","0","0","0","0","0","0","0","0","0","0","0","False"
"20260501_catalog_categories.sql","662","2026-07-15 14:06:17","F836445D204B58DA8939C457E3B218B25671948F43A6CC6962CC45ABB1CC21D0","1","0","0","0","0","0","0","0","0","0","0","True"
"20260501_create_discounts.sql","911","2026-07-15 14:06:17","B68950A22E698C040FA75CC42172BDCBCF8D23A4C86958813A0CD214B9771D40","1","0","0","0","0","0","3","0","0","0","0","False"
"20260501_create_vat_settings.sql","896","2026-07-15 14:06:17","7FE23DD43F8591873A7F3DD885064040030D47D02FD2384724CA2595F84F010C","1","0","0","0","0","0","3","0","0","0","0","False"
"20260503_default_new_orders_to_in_progress.sql","5863","2026-07-15 14:06:17","9393C67B6A3AFAF63AD396BD6A1A7DDDC6C6164CF7CC8F57A009B66A2BB49B5E","0","0","1","0","0","0","0","0","0","0","0","True"
"20260503_fix_invoice_items_insert_columns_in_create_invoice_with_items_safe.sql","6260","2026-07-15 14:06:17","7AD25F8B43CBCB6580D7583F2969DEA4C0C8CB958D19640D62175F057A7BB6B5","0","0","1","0","0","0","0","0","0","0","0","True"
"20260503_replace_create_invoice_with_items_safe_full_body.sql","6260","2026-07-15 14:06:17","7AD25F8B43CBCB6580D7583F2969DEA4C0C8CB958D19640D62175F057A7BB6B5","0","0","1","0","0","0","0","0","0","0","0","True"
"20260503_reuse_existing_customer_by_phone_in_create_invoice_with_items_safe.sql","6364","2026-07-15 14:06:17","F0ADF3FD621B7601EA0B2D6DDBC5FBEEDBFD28C4EE973B175B4C3BE3B8F36852","0","0","1","0","0","0","0","0","0","0","0","True"
"20260503_standardize_order_statuses_to_in_progress_ready_closed.sql","791","2026-07-15 14:06:17","758F50C49EC5925221475AC2C536C3175C94BD767B683F0A89510028F47BA0A9","0","1","0","0","0","0","0","0","0","0","0","True"
"20260505_add_order_client_idempotency_key.sql","7007","2026-07-15 14:06:17","BBCCC09F773D42C7168C6BA5FDB30747DCC2C08C893B65481546EA8E764259CA","0","1","1","0","0","0","1","0","1","0","0","True"
"20260505_add_order_employee_audit.sql","1556","2026-07-15 14:06:17","7C6BB90E8BBA13BA70336481C8CE26CD5564B834F5B7F88EA4F206EFD82CB757","0","1","1","0","0","0","0","0","1","0","0","True"
"20260505_add_pos_pin_to_profiles.sql","896","2026-07-15 14:06:17","B33F2A32ED63FA0479215D97591861FF63DCF096C0E84E628A961536B2E0687E","0","1","1","0","0","0","0","0","1","1","0","True"
"20260505_fix_set_pos_pin_pgcrypto_search_path.sql","794","2026-07-15 14:06:17","0C59568CFB3FCB0C835A3F27CBCA90A24E3A32CE76EDB9E2EF7EF0FCBC0C9207","0","0","1","0","0","0","0","0","1","1","0","True"
