"FileOrder","FileName","ObjectType","ObjectName","ObjectSignature"
"1","20260403_multi_branch_phase1.sql","INDEX","public.idx_branches_is_active","public.idx_branches_is_active"
"1","20260403_multi_branch_phase1.sql","INDEX","public.idx_customers_branch_id","public.idx_customers_branch_id"
"1","20260403_multi_branch_phase1.sql","INDEX","public.idx_invoices_branch_id","public.idx_invoices_branch_id"
"1","20260403_multi_branch_phase1.sql","INDEX","public.idx_orders_branch_id","public.idx_orders_branch_id"
"1","20260403_multi_branch_phase1.sql","INDEX","public.idx_profiles_branch_id","public.idx_profiles_branch_id"
"1","20260403_multi_branch_phase1.sql","TABLE","public.branches","public.branches"
"2","20260403_multi_branch_phase3_write_path_safety.sql","FUNCTION","public.resolve_insert_branch_id","public.resolve_insert_branch_id(requested_branch_id uuid default null)"
"2","20260403_multi_branch_phase3_write_path_safety.sql","FUNCTION","public.set_customers_branch_id","public.set_customers_branch_id()"
"2","20260403_multi_branch_phase3_write_path_safety.sql","FUNCTION","public.set_invoices_branch_id","public.set_invoices_branch_id()"
"2","20260403_multi_branch_phase3_write_path_safety.sql","FUNCTION","public.set_orders_branch_id","public.set_orders_branch_id()"
"2","20260403_multi_branch_phase3_write_path_safety.sql","TRIGGER","public.trg_set_customers_branch_id","public.customers::trg_set_customers_branch_id"
"2","20260403_multi_branch_phase3_write_path_safety.sql","TRIGGER","public.trg_set_invoices_branch_id","public.invoices::trg_set_invoices_branch_id"
"2","20260403_multi_branch_phase3_write_path_safety.sql","TRIGGER","public.trg_set_orders_branch_id","public.orders::trg_set_orders_branch_id"
"3","20260404_branch_catalog_phase1.sql","INDEX","public.idx_branch_catalog_items_branch_id","public.idx_branch_catalog_items_branch_id"
"3","20260404_branch_catalog_phase1.sql","INDEX","public.idx_branch_catalog_items_catalog_item_id","public.idx_branch_catalog_items_catalog_item_id"
"3","20260404_branch_catalog_phase1.sql","TABLE","public.branch_catalog_items","public.branch_catalog_items"
"3","20260404_branch_catalog_phase1.sql","TABLE","public.catalog_items","public.catalog_items"
"4","20260404_branch_whatsapp_configs.sql","INDEX","public.idx_branch_whatsapp_configs_branch_id","public.idx_branch_whatsapp_configs_branch_id"
"4","20260404_branch_whatsapp_configs.sql","INDEX","public.idx_branch_whatsapp_configs_is_active","public.idx_branch_whatsapp_configs_is_active"
"4","20260404_branch_whatsapp_configs.sql","TABLE","public.branch_whatsapp_configs","public.branch_whatsapp_configs"
"5","20260404_multi_branch_phase3_branch_guard.sql","FUNCTION","public.resolve_insert_branch_id","public.resolve_insert_branch_id(requested_branch_id uuid default null)"
"15","20260430_create_invoice_with_items_current_payload_safe.sql","FUNCTION","public.create_invoice_with_items","public.create_invoice_with_items(p_customer_name text, p_customer_phone text, p_customer_notes text default '', p_payment_method text default 'cash', p_discount numeric default 0, p_tax numeric default 0, p_note text default '', p_items json default '[]'::json)"
"15","20260430_create_invoice_with_items_current_payload_safe.sql","FUNCTION","public.create_invoice_with_items","public.create_invoice_with_items(p_customer_name text, p_customer_phone text, p_customer_notes text default '', p_payment_method text default 'cash', p_discount numeric default 0, p_tax numeric default 0, p_note text default '', p_items jsonb default '[]'::jsonb)"
"15","20260430_create_invoice_with_items_current_payload_safe.sql","FUNCTION","public.create_invoice_with_items_safe","public.create_invoice_with_items_safe(p_customer_name text, p_customer_phone text, p_customer_notes text default '', p_payment_method text default 'cash', p_discount numeric default 0, p_tax numeric default 0, p_note text default '', p_items jsonb default '[]'::jsonb)"
"16","20260430_create_invoice_with_items_safe_validation.sql","FUNCTION","public.create_invoice_with_items","public.create_invoice_with_items(p_customer_name text, p_customer_phone text, p_customer_notes text default '', p_payment_method text default 'cash', p_discount numeric default 0, p_tax numeric default 0, p_note text default '', p_items json default '[]'::json)"
"16","20260430_create_invoice_with_items_safe_validation.sql","FUNCTION","public.create_invoice_with_items","public.create_invoice_with_items(p_customer_name text, p_customer_phone text, p_customer_notes text default '', p_payment_method text default 'cash', p_discount numeric default 0, p_tax numeric default 0, p_note text default '', p_items jsonb default '[]'::jsonb)"
"16","20260430_create_invoice_with_items_safe_validation.sql","FUNCTION","public.create_invoice_with_items_safe","public.create_invoice_with_items_safe(p_customer_name text, p_customer_phone text, p_customer_notes text default '', p_payment_method text default 'cash', p_discount numeric default 0, p_tax numeric default 0, p_note text default '', p_items jsonb default '[]'::jsonb)"
"17","20260430_invoice_items_snapshot_allow_catalog_delete.sql","FUNCTION","public.create_invoice_with_items","public.create_invoice_with_items(p_customer_name text, p_customer_phone text, p_customer_notes text default '', p_payment_method text default 'cash', p_discount numeric default 0, p_tax numeric default 0, p_note text default '', p_items json default '[]'::json)"
"17","20260430_invoice_items_snapshot_allow_catalog_delete.sql","FUNCTION","public.create_invoice_with_items","public.create_invoice_with_items(p_customer_name text, p_customer_phone text, p_customer_notes text default '', p_payment_method text default 'cash', p_discount numeric default 0, p_tax numeric default 0, p_note text default '', p_items jsonb default '[]'::jsonb)"
"17","20260430_invoice_items_snapshot_allow_catalog_delete.sql","FUNCTION","public.create_invoice_with_items_safe","public.create_invoice_with_items_safe(p_customer_name text, p_customer_phone text, p_customer_notes text default '', p_payment_method text default 'cash', p_discount numeric default 0, p_tax numeric default 0, p_note text default '', p_items jsonb default '[]'::jsonb)"
"19","20260501_catalog_categories.sql","TABLE","public.catalog_categories","public.catalog_categories"
"20","20260501_create_discounts.sql","INDEX","public.discounts_branch_id_idx","public.discounts_branch_id_idx"
"20","20260501_create_discounts.sql","INDEX","public.discounts_deleted_at_idx","public.discounts_deleted_at_idx"
"20","20260501_create_discounts.sql","INDEX","public.discounts_is_active_idx","public.discounts_is_active_idx"
"20","20260501_create_discounts.sql","TABLE","public.discounts","public.discounts"
"21","20260501_create_vat_settings.sql","INDEX","public.vat_settings_branch_id_idx","public.vat_settings_branch_id_idx"
"21","20260501_create_vat_settings.sql","INDEX","public.vat_settings_is_active_idx","public.vat_settings_is_active_idx"
"21","20260501_create_vat_settings.sql","INDEX","public.vat_settings_scope_unique_idx","public.vat_settings_scope_unique_idx"
"21","20260501_create_vat_settings.sql","TABLE","public.vat_settings","public.vat_settings"
"22","20260503_default_new_orders_to_in_progress.sql","FUNCTION","public.create_invoice_with_items_safe","public.create_invoice_with_items_safe(p_customer_name text, p_customer_phone text, p_customer_notes text default '', p_payment_method text default 'cash', p_discount numeric default 0, p_tax numeric default 0, p_note text default '', p_items jsonb default '[]'::jsonb)"
"23","20260503_fix_invoice_items_insert_columns_in_create_invoice_with_items_safe.sql","FUNCTION","public.create_invoice_with_items_safe","public.create_invoice_with_items_safe(p_customer_name text, p_customer_phone text, p_customer_notes text default '', p_payment_method text default 'cash', p_discount numeric default 0, p_tax numeric default 0, p_note text default '', p_items jsonb default '[]'::jsonb)"
"24","20260503_replace_create_invoice_with_items_safe_full_body.sql","FUNCTION","public.create_invoice_with_items_safe","public.create_invoice_with_items_safe(p_customer_name text, p_customer_phone text, p_customer_notes text default '', p_payment_method text default 'cash', p_discount numeric default 0, p_tax numeric default 0, p_note text default '', p_items jsonb default '[]'::jsonb)"
"25","20260503_reuse_existing_customer_by_phone_in_create_invoice_with_items_safe.sql","FUNCTION","public.create_invoice_with_items_safe","public.create_invoice_with_items_safe(p_customer_name text, p_customer_phone text, p_customer_notes text default '', p_payment_method text default 'cash', p_discount numeric default 0, p_tax numeric default 0, p_note text default '', p_items jsonb default '[]'::jsonb)"
"27","20260505_add_order_client_idempotency_key.sql","FUNCTION","public.create_invoice_with_items_safe","public.create_invoice_with_items_safe(p_customer_name text, p_customer_phone text, p_customer_notes text default '', p_payment_method text default 'cash', p_discount numeric default 0, p_tax numeric default 0, p_note text default '', p_items jsonb default '[]'::jsonb, p_client_idempotency_key text default '')"
"27","20260505_add_order_client_idempotency_key.sql","INDEX","public.orders_idempotency_key_unique","public.orders_idempotency_key_unique"
"28","20260505_add_order_employee_audit.sql","FUNCTION","public.create_invoice_with_items_safe","public.create_invoice_with_items_safe(p_customer_name text, p_customer_phone text, p_customer_notes text default '', p_payment_method text default 'cash', p_discount numeric default 0, p_tax numeric default 0, p_note text default '', p_items jsonb default '[]'::jsonb, p_client_idempotency_key text default '', p_created_by_employee_id uuid default null)"
"29","20260505_add_pos_pin_to_profiles.sql","FUNCTION","public.set_pos_pin","public.set_pos_pin(user_id uuid, raw_pin text)"
"30","20260505_fix_set_pos_pin_pgcrypto_search_path.sql","FUNCTION","public.set_pos_pin","public.set_pos_pin(user_id uuid, raw_pin text)"
"31","20260505_prepare_multi_tenant_tenants_and_order_tenant_id.sql","TABLE","public.tenants","public.tenants"
